ShareID	Portion	Current_owner	Blockheight_tx	Previous_owner
0x63	0.0000000523	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x64	0.0000000460	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x65	0.0000000405	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x66	0.0000000357	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x67	0.0000000314	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x68	0.0000000276	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x69	0.0000000243	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x70	0.0000000214	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x71	0.0000000188	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x72	0.0000000166	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x73	0.0000000146	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x74	0.0000000128	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x75	0.0000000113	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x76	0.0000000099	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x77	0.0000000087	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x78	0.0000000077	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x79	0.0000000068	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x80	0.0000000060	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x81	0.0000000052	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x82	0.0000000046	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x83	0.0000000041	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x84	0.0000000036	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x85	0.0000000031	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x86	0.0000000028	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x87	0.0000000024	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x88	0.0000000021	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x89	0.0000000019	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x90	0.0000000017	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x91	0.0000000015	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x92	0.0000000013	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x93	0.0000000011	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x94	0.0000000010	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x95	0.0000000010	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x96	0.0000000010	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x97	0.0000000010	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x98	0.0000000010	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
0x99	0.0000000010	36QDtELZAKsbxsy6Lu8sk7o9hagQhqTJJw	602390	NULL
